Question,Answer
What is Machine Learning?,"Machine Learning is a subset of AI where algorithms are used to identify patterns and make decisions based on data, without explicit programming."
What is the difference between AI and Machine Learning?,"AI is the broad field of creating machines that can simulate human intelligence, while Machine Learning is a subset of AI focused on using data to improve models automatically."
What is a Supervised Learning?,"Supervised Learning is a type of machine learning where the model is trained on labeled data, meaning the input data is paired with the correct output."
What is Unsupervised Learning?,"Unsupervised Learning is a type of machine learning where the model is trained on data without labels, aiming to find hidden patterns or structures in the data."
What is Reinforcement Learning?,"Reinforcement Learning is a type of machine learning where an agent learns to make decisions by interacting with an environment, receiving rewards or penalties for its actions."
What is a Neural Network?,"A Neural Network is a computational model inspired by the human brain, composed of layers of interconnected nodes (neurons) that process data and learn patterns."
What is a Deep Neural Network (DNN)?,"A Deep Neural Network is a type of neural network with many layers, allowing it to learn complex patterns in data."
What is an Activation Function?,"An Activation Function in a neural network introduces non-linearity, helping the network learn complex patterns. Common activation functions include ReLU, sigmoid, and tanh."
What is Overfitting?,"Overfitting occurs when a model learns not just the underlying pattern in the data but also the noise, leading to poor generalization on unseen data."
What is Underfitting?,"Underfitting happens when a model is too simple to capture the underlying pattern in the data, resulting in poor performance on both training and test datasets."
What is Gradient Descent?,Gradient Descent is an optimization algorithm used to minimize the loss function in machine learning models by iteratively adjusting model parameters in the direction of the steepest decrease.
What is the Loss Function?,A Loss Function is a mathematical function that measures the error between predicted outputs and actual outputs in a model. The goal is to minimize this loss during training.
What is a Convolutional Neural Network (CNN)?,"A Convolutional Neural Network is a deep learning architecture primarily used for image recognition tasks, employing convolutional layers to extract spatial features from input images."
What is a Recurrent Neural Network (RNN)?,"A Recurrent Neural Network is a type of neural network that processes sequential data by maintaining an internal state, which allows it to learn dependencies over time."
What is the Vanishing Gradient Problem?,"The Vanishing Gradient Problem occurs in deep neural networks when gradients become too small during backpropagation, slowing down the learning process, especially in deep architectures."
What is a Hyperparameter?,"A Hyperparameter is a parameter that is set before training a machine learning model, influencing the learning process but is not learned from the data."
What is Cross-validation?,"Cross-validation is a technique used to evaluate the performance of a model by splitting the dataset into multiple subsets, training the model on some and testing it on others."
What is a Support Vector Machine (SVM)?,A Support Vector Machine is a supervised learning algorithm used for classification tasks that finds the optimal hyperplane to separate different classes.
What is a K-Nearest Neighbors (KNN)?,"K-Nearest Neighbors is a supervised learning algorithm used for classification and regression, where the output is based on the majority class or average of the k-nearest data points."
What is Clustering?,"Clustering is an unsupervised learning technique that groups data points into clusters based on their similarity, with algorithms like K-Means and DBSCAN."
